index,year,TOT_REG_CD,num,population
443,2023,31150520021401,to_in_008,288
444,2023,31150520021401,to_in_001,572
445,2023,31150520021501,to_in_007,245
446,2023,31150520021501,to_in_001,497
447,2023,31150520021501,to_in_008,252
448,2023,31150520021502,to_in_001,465
449,2023,31150520021502,to_in_008,228
450,2023,31150520021502,to_in_007,237
451,2023,31150520021503,to_in_007,174
452,2023,31150520021503,to_in_001,366
453,2023,31150520021503,to_in_008,192
454,2023,31150520021801,to_in_001,531
455,2023,31150520021801,to_in_008,266
456,2023,31150520021801,to_in_007,265
457,2023,31150520021901,to_in_008,144
458,2023,31150520021901,to_in_001,311
459,2023,31150520021901,to_in_007,167
460,2023,31150520022001,to_in_001,303
461,2023,31150520022001,to_in_008,156
462,2023,31150520022001,to_in_007,147
463,2023,31150530010001,to_in_001,284
464,2023,31150530010001,to_in_007,179
465,2023,31150530010001,to_in_008,105
466,2023,31150530020001,to_in_008,203
467,2023,31150530020001,to_in_007,221
468,2023,31150530020001,to_in_001,424
469,2023,31150530020002,to_in_008,164
470,2023,31150530020002,to_in_001,452
471,2023,31150530020002,to_in_007,288
472,2023,31150530020003,to_in_008,231
473,2023,31150530020003,to_in_007,289
474,2023,31150530020003,to_in_001,520
475,2023,31150530020101,to_in_001,356
476,2023,31150530020101,to_in_008,178
477,2023,31150530020101,to_in_007,178
478,2023,31150530020102,to_in_007,328
479,2023,31150530020102,to_in_008,326
480,2023,31150530020102,to_in_001,654
481,2023,31150530020103,to_in_007,255
482,2023,31150530020103,to_in_008,254
483,2023,31150530020103,to_in_001,509
484,2023,31150530020104,to_in_007,457
485,2023,31150530020104,to_in_001,912
486,2023,31150530020104,to_in_008,455
487,2023,31150530020201,to_in_008,209
488,2023,31150530020201,to_in_007,255
489,2023,31150530020201,to_in_001,464
490,2023,31150530020401,to_in_008,243
491,2023,31150530020401,to_in_001,494
492,2023,31150530020401,to_in_007,251
493,2023,31150530020501,to_in_001,428
494,2023,31150530020501,to_in_008,218
495,2023,31150530020501,to_in_007,210
496,2023,31150530020601,to_in_008,138
497,2023,31150530020601,to_in_001,305
498,2023,31150530020601,to_in_007,167
499,2023,31150530020701,to_in_001,305
500,2023,31150530020701,to_in_008,146
501,2023,31150530020701,to_in_007,159
502,2023,31150530030001,to_in_001,409
503,2023,31150530030001,to_in_008,173
504,2023,31150530030001,to_in_007,236
505,2023,31150530030002,to_in_007,232
506,2023,31150530030002,to_in_001,425
507,2023,31150530030002,to_in_008,193
508,2023,31150530030003,to_in_008,174
509,2023,31150530030003,to_in_007,225
510,2023,31150530030003,to_in_001,399
511,2023,31150530030101,to_in_001,369
512,2023,31150530030101,to_in_008,177
513,2023,31150530030101,to_in_007,192
514,2023,31150530030201,to_in_007,215
515,2023,31150530030201,to_in_008,180
516,2023,31150530030201,to_in_001,395
517,2023,31150530030301,to_in_007,271
518,2023,31150530030301,to_in_001,516
519,2023,31150530030301,to_in_008,245
520,2023,31150530030302,to_in_008,183
521,2023,31150530030302,to_in_001,363
